Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-101,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What is the superior boundary of the mediastinum?,"The superior thoracic aperture, also called the thoracic inlet.",,,mediastinum; boundaries
W1-102,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What is the inferior boundary of the mediastinum?,The diaphragm.,,,mediastinum; boundaries
W1-103,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What is the anterior boundary of the mediastinum?,The sternum.,,,mediastinum; boundaries
W1-104,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What is the posterior boundary of the mediastinum?,The bodies of thoracic vertebrae T1 through T12.,,,mediastinum; boundaries
W1-105,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What are the lateral boundaries of the mediastinum?,"The mediastinal pleura, the medial wall of each pleural cavity.",,,mediastinum; boundaries
W1-106,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What plane divides the superior and inferior mediastinum?,The transverse thoracic plane.,,,mediastinum
W1-107,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What landmarks define the transverse thoracic plane?,It runs from the sternal angle to the disc between T4 and T5.,,,mediastinum; transverse thoracic plane
W1-108,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,What are the four mediastinal compartments?,"Superior, anterior, middle, and posterior mediastinum.",,,mediastinum; compartments
W1-109,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,Where is the superior mediastinum located?,Above the transverse thoracic plane.,,,superior mediastinum
W1-110,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,Where is the anterior mediastinum located?,Between the body of the sternum and the pericardium.,,,anterior mediastinum
