Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-401,Week 1,Integumentary,Integumentary,Integument Overview,Integument definition,Name the two layers of the skin and the hypodermis beneath them.,2,1,What is the integumentary system?,"The skin together with its accessory structures: hair, nails, and glands.",The system is more than skin; the accessory structures all grow from it.,"Students think the integumentary system is only the skin and forget hair, nails, and glands.",integumentary; overview
W1-402,Week 1,Integumentary,Integumentary,Integument Overview,Skin layers,Name the two layers of the skin and the hypodermis beneath them.,2,1,What are the two layers of the skin?,The epidermis and the dermis.,The hypodermis lies beneath but is not counted as skin.,Students count the hypodermis as a third layer of skin.,integumentary; skin layers; epidermis; dermis
W1-403,Week 1,Integumentary,Integumentary,Integument Overview,Hypodermis,Name the two layers of the skin and the hypodermis beneath them.,4,2,Why is the hypodermis not considered part of the skin proper?,"It is a subcutaneous layer of mostly adipose that anchors the skin, but it is not one of the skin's two layers.",It anchors skin to underlying structures and insulates the body.,Calling the hypodermis the third layer of skin.,integumentary; hypodermis
W1-404,Week 1,Integumentary,Integumentary,Integument Overview,Skin layers,Name the two layers of the skin and the hypodermis beneath them.,4,2,Compare the epidermis and dermis by tissue type.,The epidermis is keratinized stratified squamous epithelium; the dermis is mostly connective tissue.,"Epithelium above, connective tissue below, a recurring skin pattern.",Thinking both layers are epithelium.,integumentary; epidermis; dermis
W1-405,Week 1,Integumentary,Integumentary,Integument Overview,Epidermis,Name the two layers of the skin and the hypodermis beneath them.,2,1,Which layer of the skin is avascular?,The epidermis.,It has no blood vessels and is fed by diffusion from the dermis.,Assuming the epidermis has its own blood supply.,integumentary; epidermis; avascular
W1-406,Week 1,Integumentary,Integumentary,Integument Overview,Epidermis,Name the two layers of the skin and the hypodermis beneath them.,4,2,Why must the epidermis rely on the dermis for nutrients?,"The epidermis is avascular, so nutrients diffuse up from vessels in the dermis.",This is why the deeper vascular dermis keeps the surface alive.,Believing epidermal cells receive blood directly.,integumentary; epidermis; dermis
W1-407,Week 1,Integumentary,Integumentary,Integument Overview,Dermis,Name the two layers of the skin and the hypodermis beneath them.,4,2,"Which skin layer holds the blood vessels, nerves, and glands?",The dermis.,The dermis is the working connective-tissue layer of the skin.,Placing glands and vessels in the epidermis.,integumentary; dermis
W1-408,Week 1,Integumentary,Integumentary,Integument Overview,Hypodermis,Name the two layers of the skin and the hypodermis beneath them.,4,2,"What is the hypodermis made of, and what does it do?",Mostly adipose tissue; it anchors the skin to underlying structures and insulates.,Also called the subcutaneous layer; it is the site of subcutaneous injections.,Thinking the hypodermis is muscle.,integumentary; hypodermis
W1-409,Week 1,Integumentary,Integumentary,Integument Overview,Skin layers,Name the two layers of the skin and the hypodermis beneath them.,4,2,Compare the epidermis and dermis by blood supply.,The epidermis is avascular; the dermis is vascular and carries the blood vessels.,The vascular dermis feeds the avascular epidermis.,Thinking both layers are vascular.,integumentary; epidermis; dermis; vascularity
W1-410,Week 1,Integumentary,Integumentary,Integument Overview,Skin layers,Name the two layers of the skin and the hypodermis beneath them.,4,2,"List the skin from superficial to deep, including the layer beneath it.","Epidermis, then dermis, then the hypodermis beneath.",Only the first two are skin proper; the hypodermis is subcutaneous.,Ordering the dermis above the epidermis.,integumentary; skin layers; ordering
