#,Module,Module title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID
1,1,Foundations to Integumentary,Foundations,Levels of structural organization,List the six levels of structural organization in order from chemical to organismal and state what each level contains.,Yes,,1,core,w1-levels-organization
2,1,Foundations to Integumentary,Foundations,Anatomical position,"Place the body in anatomical position, define supine and prone, and explain why anatomical position is the fixed reference for every directional term.",Yes,,2,core,w1-anatomical-position
3,1,Foundations to Integumentary,Foundations,Anatomical planes and sections,"Name the sagittal, midsagittal, parasagittal, frontal, transverse, and oblique planes and state the two parts each divides the body into.",Yes,Yes,2,core,w1-planes-sections
4,1,Foundations to Integumentary,Foundations,Directional terms,"Use the paired directional terms precisely, including superior and inferior, anterior and posterior, medial and lateral, proximal and distal, superficial and deep, cranial and caudal, and ipsilateral and contralateral.",Yes,,2,core,w1-directional-terms
5,1,Foundations to Integumentary,Foundations,Regional terms,Identify the major anterior and posterior regional terms and sort each as axial or appendicular.,Yes,Yes,2,core,w1-regional-terms
6,1,Foundations to Integumentary,Body Cavities and Regions,Body cavities,"Distinguish the dorsal and ventral body cavities and name every subdivision of each, including the cranial, vertebral, thoracic, pleural, pericardial, abdominal, and pelvic cavities.",Yes,Yes,2,core,w1-body-cavities
7,1,Foundations to Integumentary,Body Cavities and Regions,Serous membranes,"Define a serous membrane and differentiate its parietal and visceral layers across the pleura, pericardium, and peritoneum.",Yes,Yes,2,core,w1-serous-membranes
8,1,Foundations to Integumentary,Body Cavities and Regions,Mediastinum,Map the boundaries and the four compartments of the mediastinum and identify a major structure contained in each.,Yes,Yes,3,high,w1-mediastinum
9,1,Foundations to Integumentary,Body Cavities and Regions,Peritoneal relationships,"Classify abdominopelvic organs as intraperitoneal or retroperitoneal using SADPUCKER and define the mesentery, omenta, and mesocolon.",Yes,,3,high,w1-peritoneum-relationships
10,1,Foundations to Integumentary,Body Cavities and Regions,Abdominopelvic regions and quadrants,Locate organs on the nine-region and four-quadrant grids and name the planes that draw each grid.,Yes,Yes,2,high,w1-abdominopelvic-map
