Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W1-201,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What is rough ER?,A ribosome-studded membrane network that makes and packages proteins.,Rough ER is studded with ribosomes and makes and packages proteins.,Thinking rough ER makes lipids.,rough ER
W1-202,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What is smooth ER?,A tubular membrane network without ribosomes that makes lipids and stores calcium.,Smooth ER lacks ribosomes and makes lipids and stores calcium.,Thinking smooth ER builds proteins.,smooth ER
W1-203,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What is the Golgi apparatus?,"A stack of flattened membrane sacs that sorts, packages, and ships cell products.","The Golgi sorts, modifies, packages, and ships cell products.",Thinking the Golgi makes proteins from scratch.,Golgi apparatus
W1-204,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are lysosomes?,Membrane sacs of digestive enzymes that break down worn parts and debris.,Lysosomes carry digestive enzymes that break down worn parts and debris.,Confusing lysosomes with peroxisomes.,lysosomes
W1-205,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are peroxisomes?,Membrane sacs of enzymes that neutralize toxins and free radicals.,Peroxisomes hold enzymes that neutralize toxins and free radicals.,Thinking peroxisomes digest worn organelles like lysosomes.,peroxisomes
W1-206,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are mitochondria?,Double-membraned organelles that produce most of the cell’s ATP.,Mitochondria are double-membraned organelles that produce most of the cell's ATP.,"Thinking the nucleus, not mitochondria, powers the cell.",mitochondria
W1-207,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are vesicles?,Small membrane sacs that move substances within the cell.,Vesicles are small membrane sacs that shuttle substances within the cell.,Thinking vesicles are permanent fixed organelles.,vesicles
W1-208,Week 1,Cell Anatomy,Cell Anatomy,Non-membranous Organelles,Non-membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are ribosomes?,Tiny particles of RNA and protein that build proteins.,Ribosomes are RNA-and-protein particles that build proteins and are not membrane-bound.,Calling ribosomes a membranous organelle.,ribosomes
W1-209,Week 1,Cell Anatomy,Cell Anatomy,Non-membranous Organelles,Non-membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,Where can ribosomes be located?,Free in the cytosol or attached to rough ER.,Ribosomes are free in the cytosol or bound to rough ER.,Thinking ribosomes exist only on the ER.,ribosomes
W1-210,Week 1,Cell Anatomy,Cell Anatomy,Non-membranous Organelles,Non-membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What is the cytoskeleton?,An internal protein framework that gives the cell shape and allows movement.,The cytoskeleton is an internal protein framework giving shape and enabling movement.,"Thinking the cytoskeleton is a rigid, fixed scaffold.",cytoskeleton
W1-211,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are microfilaments?,"The thinnest cytoskeletal fibers, made of actin.","Microfilaments are the thinnest fibers, made of actin.",Confusing microfilaments with microtubules by size.,microfilaments
W1-212,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What do microfilaments do?,Support the cell surface and enable movement.,Microfilaments support the cell surface and enable movement.,Thinking microfilaments form transport tracks.,microfilaments
W1-213,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are intermediate filaments?,Rope-like cytoskeletal fibers that resist pulling forces and give the cell strength.,Intermediate filaments are rope-like fibers that resist pulling and give strength.,Confusing intermediate filaments with microtubules.,intermediate filaments
W1-214,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are microtubules?,The thickest cytoskeletal fibers; hollow tubes that form tracks for transport.,"Microtubules are the thickest fibers, hollow tubes that form transport tracks.",Thinking microtubules are the thinnest fibers.,microtubules
W1-215,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What is the centrosome?,A region near the nucleus that organizes microtubules.,The centrosome is the region near the nucleus that organizes microtubules.,Confusing the centrosome with the centrioles inside it.,centrosome
W1-216,Week 1,Cell Anatomy,Cell Anatomy,Cytoskeleton,Cytoskeleton,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,core,What are centrioles?,"Paired rod-shaped structures within the centrosome, made of nine microtubule triplets in a 9+0 array.",Centrioles are paired rods of nine microtubule triplets in a 9+0 array.,Confusing the 9+0 centriole array with the 9+2 of cilia.,centrioles
