ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-001,Foundations,Structural Organization,1,2,What is the chemical level of structural organization?,"Atoms and molecules, the smallest level.",structural organization
W1-002,Foundations,Structural Organization,1,2,What is the cellular level of structural organization?,"Cells, the smallest living units of the body.",structural organization
W1-003,Foundations,Structural Organization,1,2,What is the tissue level of structural organization?,Groups of similar cells working together on a shared task.,structural organization
W1-004,Foundations,Structural Organization,1,2,What is the organ level of structural organization?,Two or more tissue types forming a structure with a defined job.,structural organization
W1-005,Foundations,Structural Organization,1,2,What is the organ system level?,Organs that cooperate toward one broad function.,structural organization
W1-006,Foundations,Structural Organization,1,2,What is the organismal level?,"All organ systems together, the living person.",structural organization
W1-007,Foundations,Structural Organization,2,3,Place the six structural organization levels in order.,Chemical → cellular → tissue → organ → organ system → organismal.,sequence
W1-008,Foundations,Anatomical Position,1,2,Describe anatomical position.,"Body erect, feet flat and slightly apart, head and eyes forward, arms at sides, palms forward.",anatomical position
W1-009,Foundations,Anatomical Position,1,2,What does supine mean?,"Lying face up, on the back.",position
W1-010,Foundations,Anatomical Position,1,2,What does prone mean?,"Lying face down, on the front.",position
W1-011,Foundations,Anatomical Position,2,3,Why is anatomical position the reference for directional terms?,It keeps anatomical descriptions consistent regardless of how the person is positioned.,anatomical position
W1-012,Foundations,Planes,1,2,What does a sagittal plane divide the body into?,Right and left parts.,planes
W1-013,Foundations,Planes,1,2,What does a midsagittal plane divide the body into?,Equal right and left halves.,planes
W1-014,Foundations,Planes,1,2,What does a parasagittal plane divide the body into?,Unequal right and left parts.,planes
W1-015,Foundations,Planes,1,2,What does a frontal plane divide the body into?,Anterior and posterior parts.,planes
W1-016,Foundations,Planes,1,2,What does a transverse plane divide the body into?,Superior and inferior parts; a cross section.,planes
W1-017,Foundations,Planes,1,2,What is an oblique plane?,A plane at an angle between horizontal and vertical.,planes
W1-018,Foundations,Planes,2,3,Compare midsagittal and parasagittal planes.,Midsagittal divides equal right and left halves; parasagittal divides unequal right and left parts.,planes
W1-019,Foundations,Planes,2,3,Which plane is commonly associated with CT cross sections?,Transverse plane.,planes; imaging
W1-020,Foundations,Directional Terms,1,2,What is the opposite of superior?,Inferior.,directional terms
W1-021,Foundations,Directional Terms,1,2,What is the opposite of anterior?,Posterior.,directional terms
W1-022,Foundations,Directional Terms,1,2,What is the opposite of medial?,Lateral.,directional terms
W1-023,Foundations,Directional Terms,1,2,What is the opposite of proximal?,Distal.,directional terms
W1-024,Foundations,Directional Terms,1,2,What is the opposite of superficial?,Deep.,directional terms
W1-025,Foundations,Directional Terms,1,2,What is the opposite of cranial?,Caudal.,directional terms
W1-026,Foundations,Directional Terms,1,2,What is the opposite of ipsilateral?,Contralateral.,directional terms
W1-027,Foundations,Directional Terms,1,2,What does superior mean?,Above or toward the head.,directional terms
W1-028,Foundations,Directional Terms,1,2,What does inferior mean?,Below or toward the feet.,directional terms
W1-029,Foundations,Directional Terms,1,2,What does anterior mean?,Toward the front of the body.,directional terms
W1-030,Foundations,Directional Terms,1,2,What does posterior mean?,Toward the back of the body.,directional terms
W1-031,Foundations,Directional Terms,1,2,What does medial mean?,Toward the midline.,directional terms
W1-032,Foundations,Directional Terms,1,2,What does lateral mean?,Away from the midline.,directional terms
W1-033,Foundations,Directional Terms,1,2,What does proximal mean?,Nearer to the trunk or point of attachment; used for limbs.,directional terms
W1-034,Foundations,Directional Terms,1,2,What does distal mean?,Farther from the trunk or point of attachment; used for limbs.,directional terms
W1-035,Foundations,Directional Terms,1,2,What does superficial mean?,Closer to the body surface.,directional terms
W1-036,Foundations,Directional Terms,1,2,What does deep mean?,Farther from the body surface.,directional terms
W1-037,Foundations,Directional Terms,1,2,What does ipsilateral mean?,On the same side of the body.,directional terms
W1-038,Foundations,Directional Terms,1,2,What does contralateral mean?,On the opposite side of the body.,directional terms
W1-039,Foundations,Directional Terms,2,3,Why should proximal and distal be used for limbs rather than the trunk?,They describe distance from the trunk or point of limb attachment.,directional terms
W1-040,Foundations,Directional Terms,3,4,A wound is on the anterior distal forearm. Where is it?,"On the front side of the forearm, farther from the elbow/trunk and closer to the wrist.",application
W1-041,Foundations,Directional Terms,3,4,A structure is between a medial and lateral structure. What term describes its position?,Intermediate.,directional terms
W1-042,Foundations,Regional Terms,1,2,What does cephalic mean?,Head.,regional terms
W1-043,Foundations,Regional Terms,1,2,What does frontal mean?,Forehead.,regional terms
W1-044,Foundations,Regional Terms,1,2,What does orbital mean?,Eye.,regional terms
W1-045,Foundations,Regional Terms,1,2,What does nasal mean?,Nose.,regional terms
W1-046,Foundations,Regional Terms,1,2,What does oral mean?,Mouth.,regional terms
W1-047,Foundations,Regional Terms,1,2,What does buccal mean?,Cheek.,regional terms
W1-048,Foundations,Regional Terms,1,2,What does mental mean?,Chin.,regional terms
W1-049,Foundations,Regional Terms,1,2,What does otic mean?,Ear.,regional terms
W1-050,Foundations,Regional Terms,1,2,What does occipital mean?,Back of the head.,regional terms
W1-051,Foundations,Regional Terms,1,2,What does cervical mean?,Neck.,regional terms
W1-052,Foundations,Regional Terms,1,2,What does thoracic mean?,Chest.,regional terms
W1-053,Foundations,Regional Terms,1,2,What does sternal mean?,Breastbone region.,regional terms
W1-054,Foundations,Regional Terms,1,2,What does mammary mean?,Breast.,regional terms
W1-055,Foundations,Regional Terms,1,2,What does abdominal mean?,Belly.,regional terms
W1-056,Foundations,Regional Terms,1,2,What does umbilical mean?,Navel.,regional terms
W1-057,Foundations,Regional Terms,1,2,What does vertebral mean?,Spinal column.,regional terms
W1-058,Foundations,Regional Terms,1,2,What does lumbar mean?,Lower back.,regional terms
W1-059,Foundations,Regional Terms,1,2,What does sacral mean?,"Between the hips, over the sacrum.",regional terms
W1-060,Foundations,Regional Terms,1,2,What does gluteal mean?,Buttock.,regional terms
W1-061,Foundations,Regional Terms,1,2,What does inguinal mean?,"Groin, where the thigh meets the trunk.",regional terms
W1-062,Foundations,Regional Terms,1,2,What does acromial mean?,Point of the shoulder.,regional terms
W1-063,Foundations,Regional Terms,1,2,What does axillary mean?,Armpit.,regional terms
W1-064,Foundations,Regional Terms,1,2,What does brachial mean?,"Arm, shoulder to elbow.",regional terms
W1-065,Foundations,Regional Terms,1,2,What does antecubital mean?,Front of the elbow.,regional terms
W1-066,Foundations,Regional Terms,1,2,What does olecranal mean?,Back of the elbow.,regional terms
W1-067,Foundations,Regional Terms,1,2,What does antebrachial mean?,Forearm.,regional terms
W1-068,Foundations,Regional Terms,1,2,What does carpal mean?,Wrist.,regional terms
W1-069,Foundations,Regional Terms,1,2,What does palmar mean?,Palm.,regional terms
W1-070,Foundations,Regional Terms,1,2,What does pollex mean?,Thumb.,regional terms
W1-071,Foundations,Regional Terms,1,2,What does coxal mean?,Hip.,regional terms
W1-072,Foundations,Regional Terms,1,2,What does femoral mean?,Thigh.,regional terms
W1-073,Foundations,Regional Terms,1,2,What does patellar mean?,Front of the knee.,regional terms
W1-074,Foundations,Regional Terms,1,2,What does popliteal mean?,Back of the knee.,regional terms
W1-075,Foundations,Regional Terms,1,2,What does crural mean?,"Leg, knee to ankle.",regional terms
W1-076,Foundations,Regional Terms,1,2,What does sural mean?,Calf.,regional terms
W1-077,Foundations,Regional Terms,1,2,What does fibular mean?,Lateral side of the leg.,regional terms
W1-078,Foundations,Regional Terms,1,2,What does tarsal mean?,Ankle.,regional terms
W1-079,Foundations,Regional Terms,1,2,What does calcaneal mean?,Heel.,regional terms
W1-080,Foundations,Regional Terms,1,2,What does plantar mean?,Sole of the foot.,regional terms
W1-081,Foundations,Regional Terms,1,2,What does hallux mean?,Great toe.,regional terms
W1-082,Body Cavities,Dorsal Cavity,1,2,What two subdivisions make up the dorsal body cavity?,Cranial cavity and vertebral cavity.,body cavities
W1-083,Body Cavities,Dorsal Cavity,1,2,What does the cranial cavity enclose?,The brain.,body cavities
W1-084,Body Cavities,Dorsal Cavity,1,2,What does the vertebral cavity enclose?,The spinal cord.,body cavities
W1-085,Body Cavities,Ventral Cavity,1,2,What two major cavities make up the ventral body cavity?,Thoracic cavity and abdominopelvic cavity.,body cavities
W1-086,Body Cavities,Thoracic Cavity,1,2,What cavity is superior to the diaphragm and walled by the rib cage?,Thoracic cavity.,body cavities
W1-087,Body Cavities,Thoracic Cavity,1,2,What do the pleural cavities surround?,The lungs.,pleural cavities
W1-088,Body Cavities,Thoracic Cavity,1,2,What cavity surrounds the heart?,Pericardial cavity.,pericardial cavity
W1-089,Body Cavities,Thoracic Cavity,1,2,What is the mediastinum?,The median partition between the pleural cavities.,mediastinum
W1-090,Body Cavities,Abdominopelvic Cavity,1,2,What is the largest cavity of the body?,Abdominopelvic cavity.,body cavities
