Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-001,Week 2,Skeletal,Bone Histology,Cartilage,Cartilage tissue,Describe the three types of cartilage and the cells and matrix that make up cartilage.,2,1,core,What is cartilage?,"A firm, flexible connective tissue that has no blood vessels of its own.","Being avascular, cartilage heals slowly.",Thinking cartilage has its own blood supply.,skeletal; cartilage
W2-002,Week 2,Skeletal,Bone Histology,Cartilage,Chondrocytes,Describe the three types of cartilage and the cells and matrix that make up cartilage.,2,1,core,"What are cartilage cells called, and where does each sit?","Chondrocytes, each sitting in a small space called a lacuna.",Lacunae are cavities within the matrix.,Confusing chondrocytes with osteocytes.,skeletal; cartilage; chondrocyte
W2-003,Week 2,Skeletal,Bone Histology,Cartilage,Lacunae,Describe the three types of cartilage and the cells and matrix that make up cartilage.,2,1,core,What is a lacuna in cartilage?,A cavity in the matrix that houses a chondrocyte.,The same term is reused for the spaces that hold osteocytes in bone.,Thinking lacunae are blood-filled spaces.,skeletal; cartilage; lacuna
W2-004,Week 2,Skeletal,Bone Histology,Cartilage,Matrix,Describe the three types of cartilage and the cells and matrix that make up cartilage.,2,1,core,What is the cartilage matrix made of?,"A firm gel of ground substance with collagen, and in some types elastic fibers.",The fiber mix is what distinguishes the cartilage types.,Thinking all cartilage matrix is identical.,skeletal; cartilage; matrix
W2-005,Week 2,Skeletal,Bone Histology,Cartilage,Perichondrium,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,What is the perichondrium?,The connective tissue sheath wrapped around most cartilage.,It supplies appositional growth from its surface.,Confusing the perichondrium with the periosteum of bone.,skeletal; cartilage; perichondrium
W2-006,Week 2,Skeletal,Bone Histology,Cartilage,Hyaline,Describe the three types of cartilage and the cells and matrix that make up cartilage.,2,1,core,"Which cartilage is the most common, glassy and smooth with fine collagen?",Hyaline cartilage.,"It is found at long-bone ends, the nose, the airways, and the costal cartilages.",Confusing hyaline with fibrocartilage.,skeletal; cartilage; hyaline
W2-007,Week 2,Skeletal,Bone Histology,Cartilage,Elastic,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,Which cartilage is packed with elastic fibers and forms the external ear and epiglottis?,Elastic cartilage.,Its elastic fibers make it springy.,Confusing elastic cartilage with hyaline.,skeletal; cartilage; elastic cartilage
W2-008,Week 2,Skeletal,Bone Histology,Cartilage,Fibrocartilage,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,"Which cartilage has thick collagen bundles and forms the intervertebral discs, menisci, and pubic symphysis?",Fibrocartilage.,It is tough and shock-absorbing.,Confusing fibrocartilage with hyaline.,skeletal; cartilage; fibrocartilage
W2-009,Week 2,Skeletal,Bone Histology,Cartilage,Type comparison,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,Compare hyaline and elastic cartilage by their fibers.,Hyaline has fine collagen in a glassy matrix; elastic cartilage is packed with elastic fibers.,Fiber content sets the flexibility.,Thinking both have the same fibers.,skeletal; cartilage; hyaline; elastic cartilage
W2-010,Week 2,Skeletal,Bone Histology,Cartilage,Type comparison,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,Compare hyaline cartilage and fibrocartilage by texture and role.,Hyaline is smooth and glassy; fibrocartilage is tough and shock-absorbing with thick collagen.,Fibrocartilage handles compression at discs and menisci.,Thinking hyaline absorbs heavy shock.,skeletal; cartilage; hyaline; fibrocartilage
W2-011,Week 2,Skeletal,Bone Histology,Cartilage,Appositional growth,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,What is appositional cartilage growth?,New cartilage added at the outer surface from the perichondrium.,Growth from the edge inward.,Confusing appositional with interstitial growth.,skeletal; cartilage; appositional growth
W2-012,Week 2,Skeletal,Bone Histology,Cartilage,Interstitial growth,Describe the three types of cartilage and the cells and matrix that make up cartilage.,4,2,core,What is interstitial cartilage growth?,Expansion from within as chondrocytes divide inside the matrix.,Growth from the inside out.,Thinking interstitial growth happens at the perichondrium.,skeletal; cartilage; interstitial growth
W2-013,Week 2,Skeletal,Bone Histology,Cartilage,Growth comparison,Describe the three types of cartilage and the cells and matrix that make up cartilage.,6,3,core,Compare appositional and interstitial cartilage growth by where each occurs.,Appositional adds at the outer surface from the perichondrium; interstitial expands from within by dividing chondrocytes.,Two directions of growth work together.,Swapping the two growth types.,skeletal; cartilage; growth
W2-014,Week 2,Skeletal,Bone Histology,Cartilage,Avascularity,Describe the three types of cartilage and the cells and matrix that make up cartilage.,6,3,core,Why does cartilage heal slowly after injury?,"It is avascular, so repair materials cannot reach it quickly.",This is why a torn meniscus barely repairs.,Thinking cartilage heals quickly like skin.,skeletal; cartilage; avascular
W2-015,Week 2,Skeletal,Bone Histology,Cartilage,Slide ID,Describe the three types of cartilage and the cells and matrix that make up cartilage.,6,3,core,A slide shows chondrocytes in lacunae in a matrix packed with elastic fibers. Which cartilage is it?,Elastic cartilage.,The elastic fibers are the giveaway.,Guessing hyaline for any cartilage with chondrocytes.,skeletal; cartilage; elastic cartilage; classification
W2-016,Week 2,Skeletal,Bone Histology,Bone Classification,Long bones,Classify bones by shape and identify the gross parts of a long bone.,2,1,core,"What shape class is a bone that is longer than it is wide, with a shaft and two ends?",A long bone.,"The femur and humerus are examples; class is by form, not length.",Thinking 'long' refers only to actual length.,skeletal; bone classification; long bone
