ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-101,Body Cavities,Mediastinum,1,2,What is the superior boundary of the mediastinum?,"The superior thoracic aperture, also called the thoracic inlet.",mediastinum; boundaries
W1-102,Body Cavities,Mediastinum,1,2,What is the inferior boundary of the mediastinum?,The diaphragm.,mediastinum; boundaries
W1-103,Body Cavities,Mediastinum,1,2,What is the anterior boundary of the mediastinum?,The sternum.,mediastinum; boundaries
W1-104,Body Cavities,Mediastinum,1,2,What is the posterior boundary of the mediastinum?,The bodies of thoracic vertebrae T1 through T12.,mediastinum; boundaries
W1-105,Body Cavities,Mediastinum,1,2,What are the lateral boundaries of the mediastinum?,"The mediastinal pleura, the medial wall of each pleural cavity.",mediastinum; boundaries
W1-106,Body Cavities,Mediastinum,1,2,What plane divides the superior and inferior mediastinum?,The transverse thoracic plane.,mediastinum
W1-107,Body Cavities,Mediastinum,1,2,What landmarks define the transverse thoracic plane?,It runs from the sternal angle to the disc between T4 and T5.,mediastinum; transverse thoracic plane
W1-108,Body Cavities,Mediastinum,1,2,What are the four mediastinal compartments?,"Superior, anterior, middle, and posterior mediastinum.",mediastinum; compartments
W1-109,Body Cavities,Mediastinum,1,2,Where is the superior mediastinum located?,Above the transverse thoracic plane.,superior mediastinum
W1-110,Body Cavities,Mediastinum,1,2,Where is the anterior mediastinum located?,Between the body of the sternum and the pericardium.,anterior mediastinum
W1-111,Body Cavities,Mediastinum,1,2,Where is the middle mediastinum located?,The pericardium and the structures within it.,middle mediastinum
W1-112,Body Cavities,Mediastinum,1,2,Where is the posterior mediastinum located?,Between the pericardium and the thoracic vertebral column.,posterior mediastinum
W1-113,Body Cavities,Mediastinum,1,2,Name one major structure in the superior mediastinum.,"Arch of the aorta, trachea, esophagus, thoracic duct, thymus, phrenic nerves, or vagus nerves.",superior mediastinum
W1-114,Body Cavities,Mediastinum,1,2,Name one major structure in the middle mediastinum.,"Heart, pericardium, ascending aorta, pulmonary trunk, main bronchi, lower SVC, or phrenic nerves.",middle mediastinum
W1-115,Body Cavities,Mediastinum,1,2,Name one major structure in the posterior mediastinum.,"Descending thoracic aorta, esophagus, thoracic duct, azygos veins, sympathetic trunks, or vagus nerves.",posterior mediastinum
W1-116,Body Cavities,Peritoneum,1,2,What is the peritoneum?,The serous membrane of the abdominopelvic cavity.,peritoneum
W1-117,Body Cavities,Peritoneum,1,2,What is parietal peritoneum?,Peritoneum lining the wall of the abdominopelvic cavity.,parietal peritoneum
W1-118,Body Cavities,Peritoneum,1,2,What is visceral peritoneum?,Peritoneum wrapping the surface of abdominopelvic organs.,visceral peritoneum
W1-119,Body Cavities,Peritoneum,1,2,What is the peritoneal cavity?,"The potential space between peritoneal layers, holding a thin film of serous fluid.",peritoneal cavity
W1-120,Body Cavities,Peritoneum,1,2,What is a mesentery?,A double fold of peritoneum that slings an organ from the body wall and carries vessels and nerves.,mesentery
W1-121,Body Cavities,Peritoneum,1,2,What is the greater omentum?,An apron of peritoneum hanging from the greater curvature of the stomach.,greater omentum
W1-122,Body Cavities,Peritoneum,1,2,What is the lesser omentum?,A fold linking the lesser curvature of the stomach and the duodenum to the liver.,lesser omentum
W1-123,Body Cavities,Peritoneum,1,2,What is the mesocolon?,A peritoneal fold anchoring the transverse and sigmoid colon.,mesocolon
W1-124,Body Cavities,Peritoneum,1,2,What are peritoneal recesses?,"Low points of the peritoneal cavity where fluid, blood, or pus can collect.",peritoneal recesses
W1-125,Body Cavities,Peritoneal Relationships,1,2,What does intraperitoneal mean?,Almost completely wrapped in visceral peritoneum and slung by a mesentery.,intraperitoneal
W1-126,Body Cavities,Peritoneal Relationships,1,2,What does retroperitoneal mean?,Located behind the parietal peritoneum against the posterior abdominal wall.,retroperitoneal
W1-127,Body Cavities,Peritoneal Relationships,1,2,Name one intraperitoneal organ.,"Stomach, liver, gallbladder, spleen, first duodenum, jejunum, ileum, transverse colon, sigmoid colon, cecum, appendix, or pancreatic tail.",intraperitoneal
W1-128,Body Cavities,Peritoneal Relationships,1,2,What memory aid identifies retroperitoneal structures?,SADPUCKER.,retroperitoneal; SADPUCKER
W1-129,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does S stand for?",Suprarenal glands.,SADPUCKER
W1-130,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does A stand for?",Aorta and IVC.,SADPUCKER
W1-131,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does D stand for?","Duodenum, specifically the second, third, and fourth parts.",SADPUCKER
W1-132,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does P stand for?","Pancreas, specifically the head, neck, and body.",SADPUCKER
W1-133,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does U stand for?",Ureters.,SADPUCKER
W1-134,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does C stand for?","Colon, specifically ascending and descending colon.",SADPUCKER
W1-135,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does K stand for?",Kidneys.,SADPUCKER
W1-136,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does E stand for?","Esophagus, the short abdominal segment below the diaphragm.",SADPUCKER
W1-137,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does R stand for?","Rectum, the lower portion below the peritoneal reflection.",SADPUCKER
W1-138,Body Cavities,Abdominopelvic Regions,1,2,What planes form the nine-region abdominal grid?,"Two midclavicular planes, the subcostal plane, and the transtubercular plane.",nine regions
W1-139,Body Cavities,Abdominopelvic Regions,1,2,What is the right hypochondriac region?,Upper right region; includes gallbladder and right lobe of liver.,nine regions
W1-140,Body Cavities,Abdominopelvic Regions,1,2,What is the epigastric region?,"Upper center region; includes stomach, duodenum, and pancreas.",nine regions
W1-141,Body Cavities,Abdominopelvic Regions,1,2,What is the left hypochondriac region?,Upper left region; includes spleen and tail of pancreas.,nine regions
W1-142,Body Cavities,Abdominopelvic Regions,1,2,What is the right lumbar region?,Middle right region; includes ascending colon and right kidney.,nine regions
W1-143,Body Cavities,Abdominopelvic Regions,1,2,What is the umbilical region?,Center region; includes transverse colon and coils of small intestine.,nine regions
W1-144,Body Cavities,Abdominopelvic Regions,1,2,What is the left lumbar region?,Middle left region; includes descending colon and left kidney.,nine regions
W1-145,Body Cavities,Abdominopelvic Regions,1,2,What is the right iliac region?,Lower right region; includes cecum and appendix.,nine regions
W1-146,Body Cavities,Abdominopelvic Regions,1,2,What is the hypogastric region?,Lower center region; includes urinary bladder and sigmoid colon.,nine regions
W1-147,Body Cavities,Abdominopelvic Regions,1,2,What is the left iliac region?,Lower left region; includes sigmoid colon.,nine regions
W1-148,Body Cavities,Quadrants,1,2,What two planes form the four abdominopelvic quadrants?,Median plane and transumbilical plane.,quadrants
W1-149,Body Cavities,Quadrants,1,2,What organs are commonly in the RUQ?,"Liver, gallbladder, right kidney, hepatic flexure, and head of pancreas.",RUQ
W1-150,Body Cavities,Quadrants,1,2,What organs are commonly in the LUQ?,"Stomach, spleen, left kidney, splenic flexure, and tail of pancreas.",LUQ
W1-151,Body Cavities,Quadrants,1,2,What organs are commonly in the RLQ?,"Cecum, appendix, and right ovary.",RLQ
W1-152,Body Cavities,Quadrants,1,2,What organs are commonly in the LLQ?,Sigmoid colon and left ovary.,LLQ
W1-153,Body Cavities,Quadrants,2,3,Which quadrant is the classic site of appendicitis pain?,Right lower quadrant.,RLQ; appendicitis
