Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-001,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What is the chemical level of structural organization?,"Atoms and molecules, the smallest level.","Atoms bond into molecules such as water and proteins, the building blocks every higher level is made from.","Skipping the chemical level and starting at the cell, forgetting cells are built from molecules.",structural organization
W1-002,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What is the cellular level of structural organization?,"Cells, the smallest living units of the body.",The cell is the smallest unit that is still alive; nothing below it survives on its own.,"Thinking tissues, not cells, are the smallest living unit.",structural organization
W1-003,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What is the tissue level of structural organization?,Groups of similar cells working together on a shared task.,"A tissue is defined by cells sharing both a structure and a job, not just cells sitting together.",Assuming any cluster of cells is a tissue even when they do different jobs.,structural organization
W1-004,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What is the organ level of structural organization?,Two or more tissue types forming a structure with a defined job.,"An organ needs at least two tissue types working toward one function, like the stomach's muscle and epithelium.",Thinking an organ is made of a single tissue type.,structural organization
W1-005,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What is the organ system level?,Organs that cooperate toward one broad function.,"A system links organs that cooperate on one broad function, like the digestive tract from mouth to anus.",Confusing an organ system with a single organ.,structural organization
W1-006,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What is the organismal level?,"All organ systems together, the living person.","All systems functioning together make the living person, the highest level of organization.",Thinking one system alone can represent the whole organism.,structural organization
W1-007,Week 1,Foundations,Foundations,Structural Organization,Structural Organization,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",3,2,Place the six structural organization levels in order.,Chemical → cellular → tissue → organ → organ system → organismal.,"Each level is built from the one below it, so the sequence runs only one way, simple to complex.",Reversing the order or placing organ before tissue.,sequence
W1-008,Week 1,Foundations,Foundations,Anatomical Position,Anatomical Position,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,Describe anatomical position.,"Body erect, feet flat and slightly apart, head and eyes forward, arms at sides, palms forward.","Palms forward is the detail students miss; it sets the forearm bones parallel, the reference for every arm term.","Forgetting the palms face forward, which changes forearm terminology.",anatomical position
W1-009,Week 1,Foundations,Foundations,Anatomical Position,Anatomical Position,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What does supine mean?,"Lying face up, on the back.","Supine, face up, is the position for CPR and most abdominal exams.",Mixing up supine and prone.,position
W1-010,Week 1,Foundations,Foundations,Anatomical Position,Anatomical Position,"Use anatomical position, directional and regional terms, body planes, and the levels of structural organization precisely.",2,1,What does prone mean?,"Lying face down, on the front.","Prone, face down, is used to access the back and spine.",Confusing prone with supine.,position
